ID	physiological_condition	immune_cell_type	Gene_A_expression	Gene_B_expression	Gene_C_expression	Gene_D_expression	Gene_E_expression	Gene_F_expression	regeneration_capacity	age_years	immune_receptor_diversity	response_to_infection	inflammation_level	weight_kg	habitat_location	resilience_score	reproduction_rate
0001	Infected	Monocytes	144.796000360139	171.104572069516	162.13996898902	158.444214579145	171.338087908524	168.478420682868	126.9	41	68.4	108.1	27.5	549.3	Indian	128.9	11
0002	Injured	Dendritic_cells	108.080713014238	127.096962709045	130.138696561859	116.638291506128	157.210993217831	171.718367686967	119.2	35	60.3	76.7	27.3	533.3	Southern	142.1	10.9
0003	Healthy	Monocytes	63.7822893889217	58.5486994880665	91.6598703720119	77.7188461680598	97.1929451326306	60.3950069129947	110.3	27	96.4	64.5	26.5	426.3	Arctic	127.1	20.1
0004	Infected	T_cells	136.227054897036	156.70568954389	172.359161344111	156.201617569491	188.459287623693	179.237929790644	135.3	18	82.6	81.9	27.2	507.7	Pacific	118.5	12.8
0005	Healthy	NK_cells	73.3987450959432	61.5651271493498	110.297793329317	76.7264811538697	101.410056430262	80.7536453105202	124.2	38	84.8	86.2	65.7	453.4	Southern	126.5	22.5
0006	Stressed	B_cells	81.4401013459724	96.4917857950027	85.8914052107844	84.3597438575832	112.242332729633	100.769431634874	99.6	9	81.2	71.5	26.1	492.1	Pacific	120.7	9.6
0007	Healthy	B_cells	58.5817734179289	71.0689597859611	88.2202940226787	65.7050612128075	92.032140503332	74.2949492483525	112.2	33	91.4	64.6	18.3	555.4	Indian	129.5	23.2
0008	Healthy	T_cells	54.5976835547103	83.6836080374559	102.160389926033	63.483620846717	109.191210320113	64.3867087363814	115.4	42	81.2	77.5	26	411.2	Arctic	124.4	22.3
0009	Infected	Dendritic_cells	164.342116990704	190.001531697404	171.819950694983	180.574280963603	200.237859916094	184.658944395055	142.5	15	81.9	89.2	26.9	519.2	Indian	117.6	13.8
0010	Stressed	B_cells	69.7337221834162	83.9443941082904	90.3688003985451	105.827389182665	113.096550890626	103.331478836292	86.8	50	51.9	58	25	509.1	Pacific	120.1	9.5
0011	Infected	Macrophages	152.223937571812	170.654812907074	161.953574127951	162.071847871135	181.167212851319	177.391356993516	135.2	58	52.3	85.9	22.2	570	Indian	126.5	11.8
0012	Stressed	Macrophages	79.9897031563174	106.117288978548	79.7757448445207	96.545531286127	115.069840658458	108.602149507377	95.5	54	55.2	69.8	21.7	543.4	Indian	126.2	8.9
0013	Stressed	T_cells	84.5599524079515	97.6076111285481	70.1637890318961	106.078359830542	118.475305224836	101.648111977207	108.4	5	76.5	79.8	27.7	502.9	Southern	136.9	10.9
0014	Infected	NK_cells	153.800500616973	187.872430130358	186.301733626354	179.357078286158	189.142426593567	180.691194109202	139	5	96.8	114	121.6	532	Indian	136.6	11
0015	Healthy	Monocytes	69.8560811149623	53.3817116558674	99.3549246075196	65.45501497014	78.5111448262277	68.6524502029032	115.7	57	69.5	63.6	18.2	528.7	Atlantic	128.2	21.5
0016	Recovering	B_cells	89.0907467755718	95.6529370671649	89.2105519901715	89.9376809075148	125.982073708411	93.826347773528	105.2	43	57.6	55.6	27.8	508.8	Southern	140.6	15
0017	Recovering	B_cells	97.8961322241053	106.806952542799	99.5345912550912	99.4619726881055	107.77493962741	92.2643310043033	101.9	31	69.9	92.1	20.9	522.3	Indian	124.4	15.2
0018	Stressed	Macrophages	80.5860803937768	99.3028829990488	84.3534064197013	102.354200033298	118.121848197206	90.8540666046267	101.5	28	70.3	72.5	22.7	467.1	Pacific	124.9	9.4
0019	Injured	B_cells	94.3953258368815	108.763131066813	115.792088313076	95.633768546063	165.724344562281	154.533103110034	117.7	31	73.9	101.7	21.8	396.5	Pacific	105.6	10.5
0020	Injured	Monocytes	92.7165861043191	110.779674193977	112.162699443652	102.180960732629	143.964619725377	139.717428015843	115.6	35	65.5	85.6	23.7	411.4	Arctic	131.6	11.5
0021	Infected	B_cells	139.102330134502	169.337829649098	166.035252935026	170.963312268262	176.985307149788	184.686898539742	131.1	29	70	85.6	23	528.4	Pacific	122.1	11.2
0022	Infected	Monocytes	140.313635648566	165.113569607428	158.524281391906	143.234224259275	173.698349225847	162.168311021699	135.8	31	73.3	78.9	22.5	542.8	Arctic	150.3	12
0023	Healthy	B_cells	68.2555162053627	63.6836673942547	101.996783975124	69.9862610363012	92.3128054063278	88.8688006764263	112.2	34	85.1	67.4	27.6	536.2	Southern	133	22.5
0024	Stressed	NK_cells	80.2060024720108	113.281801548047	97.3634247453378	98.5661216333597	119.732762160345	117.120547762812	107.5	33	67.6	94.6	66.7	436.2	Atlantic	109.6	12.9
0025	Infected	T_cells	149.166780062898	161.972440331336	150.232489997132	174.491869710272	185.136365486769	183.374378713286	138	46	59	71.2	24.4	494.6	Atlantic	119.6	11
0026	Recovering	Dendritic_cells	100.188975354175	122.195427133625	111.924855358164	91.226875715602	133.151402564514	111.362624865907	108.4	25	69.3	78.7	25.8	417.4	Arctic	118.6	17.6
0027	Injured	T_cells	117.123577867677	110.326721862135	113.65022346978	109.14536541858	151.307153380942	142.693714701709	109.5	42	66.7	82.3	23.5	552.7	Atlantic	120.4	8.9
0028	Recovering	Monocytes	76.5044109531502	85.1825503444596	86.0598582800393	105.968200123372	110.804347845915	97.1497051275406	93.9	47	53	69.5	24.1	487	Pacific	128.9	15
0029	Stressed	NK_cells	77.1082269454326	101.384698184996	78.2969430381594	106.687333501508	122.39378198723	90.0636069553486	98.1	13	75.6	60	82.5	396.1	Pacific	103.6	10.6
0030	Recovering	T_cells	95.13421684746	114.328702087463	121.681777925513	105.525012662298	116.31201460775	97.274087200035	106.6	45	59.3	75.3	24.2	487.2	Pacific	124.2	15.9
0031	Healthy	Monocytes	57.0878670816293	61.5215773450134	82.9400324563654	74.0183842175555	94.9618771988457	74.2142778618559	105.5	15	99.4	88.3	23.9	432.9	Indian	117.8	20.2
