ID	island	species	sex	age_years	carapace_length_cm	altitude_m	precipitation_mm	food_availability_index	body_mass_kg	shell_thickness_cm	parasite_load_index	immune_response_level	carapace_shape	ambient_temperature_c	activity_level	relative_humidity_percent
001	Isabela	Chelonoidis_becki	Male	91.1	107.8	489.5	772.8	43.8	131.8	5	53.1	55.9	Intermediate	18	Medium	65.8
002	Santa_Cruz	Chelonoidis_donfaustoi	Female	104.6	100.9	322.5	535.2	35.8	213.4	4.21	50.9	63.4	Intermediate	17.3	Low	61.4
003	Isabela	Chelonoidis_becki	Male	113	123.2	448.4	807.2	76.8	174.3	4.9	54.4	57	Saddleback	28.5	High	62.7
004	Espanola	Chelonoidis_hoodensis	Male	107.1	98.2	0	420.8	152.8	295.7	6.03	55.6	85	Saddleback	23.4	Medium	61.7
005	Espanola	Chelonoidis_hoodensis	Female	86.8	84.2	17.3	381.5	114.2	337.3	5.87	53.3	82.1	Saddleback	17.4	Low	64.9
006	Isabela	Chelonoidis_microphyes	Female	117.1	104.2	497.1	803.1	39.7	171	4.72	52.3	43.5	Dome	27.6	Medium	56.1
007	Santa_Cruz	Chelonoidis_porteri	Female	123.1	108.5	362.8	641.1	75.2	190.3	4.18	54	68.5	Intermediate	28.9	Medium	82.3
008	Espanola	Chelonoidis_hoodensis	Male	105.5	103.6	129.4	322.4	49.5	227.9	4.62	51.3	62.2	Saddleback	14.2	Medium	89.5
009	Santa_Cruz	Chelonoidis_porteri	Male	102.9	113.9	316	714	104.9	209.9	5.62	57.6	73.2	Saddleback	34.2	High	56.9
010	Isabela	Chelonoidis_vicina	Male	98.5	108.2	519.1	1020.1	127	172.6	5.62	49.3	73.8	Saddleback	31.2	High	82.6
011	Espanola	Chelonoidis_hoodensis	Male	143.2	113.3	37.8	547.7	189.3	298.2	5.43	53.4	115.1	Saddleback	18.7	Medium	71.1
012	Isabela	Chelonoidis_microphyes	Male	105.5	111.7	502.4	754.6	29.8	163.6	4.51	46.1	44.4	Saddleback	21	Medium	70.3
013	Santa_Cruz	Chelonoidis_donfaustoi	Male	96.8	108.8	229.8	417.7	35.4	261.1	4.8	50.5	44	Saddleback	26	High	70.6
014	Santa_Cruz	Chelonoidis_donfaustoi	Female	49.8	91.5	314.5	605.4	63.6	212.1	5.92	38.6	67.3	Dome	26.8	Medium	74.6
015	Isabela	Chelonoidis_vicina	Male	68.7	102.9	473.2	888	94.9	162.9	5.32	50.2	92.2	Saddleback	19	Medium	71
016	Espanola	Chelonoidis_hoodensis	Male	98.4	102.9	66.7	477.8	145.1	280.8	5.86	41.3	97.3	Saddleback	21.8	Medium	61.4
017	Isabela	Chelonoidis_becki	Female	104.1	102.3	482.7	677	12.2	174.3	4.1	50.7	54.3	Intermediate	40.4	Medium	71.4
018	Isabela	Chelonoidis_microphyes	Male	105.5	114.1	466.9	688.7	36.3	164.5	5.26	48.4	57.9	Intermediate	29.7	High	78.7
019	Isabela	Chelonoidis_becki	Female	116.4	111.9	489	813.4	50.9	175.2	4.21	56.1	63.3	Dome	32	Medium	67.6
020	Espanola	Chelonoidis_hoodensis	Female	96.1	85.2	31.7	462.6	149.2	263.4	5.94	45.4	101.7	Saddleback	21	Low	57.8
021	Espanola	Chelonoidis_hoodensis	Female	124.3	88.6	104.7	487.3	121.8	236.7	4.04	48.1	92.9	Saddleback	23.5	Low	53.5
022	Santa_Cruz	Chelonoidis_porteri	Male	81.6	110.6	310.5	681.6	88	222.5	5.21	39.8	93.5	Saddleback	18.2	Medium	76.2
023	Santa_Cruz	Chelonoidis_porteri	Male	75.8	104.3	321.6	503.2	31.7	229.8	4.68	53.6	48.3	Intermediate	26.8	High	69.4
024	Espanola	Chelonoidis_hoodensis	Male	75.4	89.5	0	268.7	87.7	295.6	6.28	53.5	71.3	Saddleback	24.7	Medium	64.1
025	Santa_Cruz	Chelonoidis_porteri	Male	114.8	104.3	374.8	398.7	0	179.3	3.92	50.5	52.2	Saddleback	36.6	High	72.3
026	Santa_Cruz	Chelonoidis_donfaustoi	Male	98.3	118.8	308	650.5	81.6	164.6	5.21	57.1	77.5	Intermediate	23.4	Medium	63
027	Santa_Cruz	Chelonoidis_donfaustoi	Male	115.8	131.5	257.2	682.8	114.8	247	5.27	47.5	80.7	Intermediate	25.1	High	69.2
028	Santa_Cruz	Chelonoidis_donfaustoi	Male	94.6	109.2	315.5	633.6	87.4	197.1	5.01	45	83.6	Intermediate	20.3	Medium	72.9
029	Isabela	Chelonoidis_vicina	Male	88.2	115.5	543.5	694.1	12.6	159.2	4.81	51.4	45.9	Saddleback	26.2	High	49.6
030	Isabela	Chelonoidis_vicina	Female	92.6	108.7	430.8	956.8	141.9	209.2	6.61	51	87	Dome	21.1	Low	60.2
031	Espanola	Chelonoidis_hoodensis	Female	62.9	75.2	134.5	363	58.3	248.8	5.93	41.2	80.4	Saddleback	19.8	Low	56.8
032	Espanola	Chelonoidis_hoodensis	Female	76.6	81	42.1	577.9	194.2	300.6	7.06	38.7	93.4	Saddleback	24.5	Low	57.6
033	Santa_Cruz	Chelonoidis_donfaustoi	Female	71.2	82.5	356.1	655.1	92.4	191.2	5.38	49.7	78.5	Dome	20.5	Low	85.5
034	Santa_Cruz	Chelonoidis_donfaustoi	Male	121.1	112.4	303.6	719	93.8	222.4	4.9	52.6	84.5	Saddleback	20.7	Medium	81.8
035	Isabela	Chelonoidis_vicina	Female	88.1	104.3	483.4	833.1	67.7	140.5	5.36	37.8	71.3	Intermediate	27.5	Medium	77.6
036	Isabela	Chelonoidis_microphyes	Male	115.8	118.1	408.3	793.5	82.6	195.8	4.48	42.3	83.2	Intermediate	30.4	High	66.3
037	Santa_Cruz	Chelonoidis_porteri	Male	130.3	117.8	245	498.7	56	259.5	4.31	52.6	56.8	Intermediate	29.3	High	81.8
038	Isabela	Chelonoidis_becki	Male	96.2	113.1	497.9	744.1	27.2	197.9	5.63	53.5	56.5	Saddleback	25	Medium	57.8
039	Isabela	Chelonoidis_microphyes	Male	105.7	107.2	541.4	795.3	21.4	120.4	3.91	49.7	55	Saddleback	25.5	High	50
040	Isabela	Chelonoidis_microphyes	Male	65	108.5	405.9	828.2	128	204.2	6.55	53.7	84.6	Saddleback	21.2	Medium	39.7
041	Isabela	Chelonoidis_microphyes	Male	83.6	102.7	568.8	796.7	18.1	127.9	4.26	48	42	Intermediate	26.5	High	72.3
042	Isabela	Chelonoidis_becki	Male	101.1	114.1	569.9	782.2	33.1	150.4	4.78	49.5	56.9	Saddleback	30	High	70.4
043	Isabela	Chelonoidis_microphyes	Female	106	104.4	442.8	818.3	95.4	168.7	4.61	57.3	65.2	Dome	20.1	Low	62.1
044	Isabela	Chelonoidis_microphyes	Female	84.8	99.1	523.6	747.6	5.9	144.6	4.95	49.7	46.7	Intermediate	30	Medium	74.9
045	Isabela	Chelonoidis_becki	Male	153.7	138.2	448.3	746.4	48.2	191.6	3.07	53	71.5	Saddleback	21.8	Medium	70.4
046	Isabela	Chelonoidis_becki	Female	90.8	99.1	493.7	654.4	0	172.3	4.49	46.3	44.5	Dome	27.2	Medium	67
047	Isabela	Chelonoidis_microphyes	Male	101.3	111.3	546.4	884.6	56.1	151.1	5.5	49.6	65.1	Saddleback	18.1	Medium	82.7
048	Isabela	Chelonoidis_becki	Female	113	101.1	543.4	804.7	35	148.3	4.27	47.9	60.9	Dome	25.9	Medium	84.4
049	Isabela	Chelonoidis_microphyes	Female	99.5	100.6	457.5	791.6	76.5	174.8	5.02	41	73.9	Dome	31.6	Medium	80.4
050	Espanola	Chelonoidis_hoodensis	Male	87.1	90.1	30.7	325.9	100.5	298.1	6.26	43.3	89.9	Intermediate	24.6	Medium	76
051	Isabela	Chelonoidis_becki	Female	120.9	113.1	451.2	775.2	64.4	172.9	5.54	48	68.3	Intermediate	17.1	Low	60
052	Isabela	Chelonoidis_becki	Female	132.3	110.2	517	691.3	0	165.9	4.89	51	49.4	Intermediate	33.2	Medium	67.5
053	Santa_Cruz	Chelonoidis_porteri	Female	99.4	101.1	222	495.1	55.4	252.4	4.66	55.9	53.1	Dome	20.9	Low	69.6
054	Isabela	Chelonoidis_becki	Male	111.2	117.4	368.5	608.1	43.7	215.9	3.98	51.7	56.8	Saddleback	20.1	Medium	71.5
055	Santa_Cruz	Chelonoidis_porteri	Male	98.1	102	373.5	698.2	83	215.6	5.49	48.6	67.5	Saddleback	21.9	Medium	81.2
056	Isabela	Chelonoidis_vicina	Female	120.3	106.9	613.7	812.6	0	130.4	4.1	56.9	49.7	Intermediate	20	Low	55.8
057	Isabela	Chelonoidis_vicina	Male	76.9	112.3	477.2	688.3	25.5	168.6	5.65	61.1	62	Saddleback	26	High	56.4
058	Santa_Cruz	Chelonoidis_donfaustoi	Male	146.4	128.2	338.1	716.4	121.1	185.7	4.65	50.1	80	Intermediate	26.7	High	69.4
059	Espanola	Chelonoidis_hoodensis	Male	87.9	106.2	49.6	462.5	160.8	284.9	6.22	54.1	72.4	Saddleback	23.2	Medium	55.3
060	Isabela	Chelonoidis_becki	Male	70.8	106	573.7	874.2	39.2	123.4	6.03	50.9	51.2	Saddleback	29.1	High	81.2
061	Santa_Cruz	Chelonoidis_porteri	Male	93	100.2	327.7	577.4	53.9	201.3	5.05	49.6	55.4	Saddleback	27.2	High	68.3
062	Isabela	Chelonoidis_vicina	Female	102.9	101.8	510.2	757.7	22.3	140.9	4.8	40.7	71.5	Dome	18.6	Low	43.1
063	Isabela	Chelonoidis_microphyes	Female	132.5	116.6	410	790.2	99.2	178.9	4.88	45.4	81.9	Intermediate	28.3	Medium	67.6
064	Isabela	Chelonoidis_microphyes	Male	118.2	129.8	554.1	840.5	39.8	128.6	4.3	48.3	76.8	Saddleback	18.5	Medium	72.1
065	Espanola	Chelonoidis_hoodensis	Female	102.8	91.2	32.5	480	159.8	276.9	5.57	43.6	103.5	Saddleback	24.6	Low	62.3
066	Isabela	Chelonoidis_microphyes	Female	72.2	102.2	429.8	958.9	141.4	188.9	6.09	42.6	79	Intermediate	23.6	Low	57.3
067	Espanola	Chelonoidis_hoodensis	Female	82.7	88.4	39.9	349.1	113	294.1	4.8	48.3	88.1	Saddleback	21	Low	70.1
068	Espanola	Chelonoidis_hoodensis	Female	96.7	83	43.7	298.4	78	275	5.78	53.6	62.5	Saddleback	30.6	Medium	82.2
069	Santa_Cruz	Chelonoidis_donfaustoi	Male	151.1	124.3	353	610.1	44.4	220.4	2.92	48.5	62.4	Saddleback	25.1	High	65.2
070	Isabela	Chelonoidis_microphyes	Female	62.8	100.2	441.6	1102.2	200.6	146.3	6.75	48	108.5	Intermediate	27.6	Medium	81.1
071	Santa_Cruz	Chelonoidis_porteri	Male	122.6	121	272.1	557.1	68.9	238.1	4.34	50	67.6	Saddleback	24.8	Medium	84
072	Santa_Cruz	Chelonoidis_donfaustoi	Male	89.5	108.9	374.4	714.6	96.3	229.7	6.07	52.4	72.7	Saddleback	20.6	Medium	57.4
073	Santa_Cruz	Chelonoidis_porteri	Female	133.3	112.2	367.9	575.7	16.5	185	3.82	52	71.5	Dome	27.9	Medium	78.7
074	Isabela	Chelonoidis_microphyes	Female	77.2	95.5	558.2	752.1	27.7	146.7	5.5	48.4	72.5	Dome	21	Low	68.9
075	Isabela	Chelonoidis_becki	Female	102.9	99.1	583.1	729	0	116.9	4.09	48.5	40.2	Dome	29.2	Medium	72.5
076	Isabela	Chelonoidis_vicina	Male	78	114.7	510.2	778.9	39.5	162.3	5.96	53	60.7	Saddleback	37.1	High	87.6
077	Isabela	Chelonoidis_microphyes	Female	118.1	103.1	470.9	964.2	110.9	177.1	5.28	55.3	90.5	Dome	26.7	Medium	79.8
078	Santa_Cruz	Chelonoidis_donfaustoi	Male	129.7	114	327.8	630.2	62.9	188.5	4.6	50.7	77.9	Intermediate	28.4	High	65.2
079	Isabela	Chelonoidis_becki	Male	139	129.6	552.9	848.7	51.6	134.1	4.47	67.2	46.3	Saddleback	27.2	High	55
080	Isabela	Chelonoidis_vicina	Male	116	113.3	620.7	883.9	29.6	132	3.53	52.2	70.2	Intermediate	31.3	High	73.6
081	Isabela	Chelonoidis_microphyes	Female	136.9	113.1	401.8	1007.2	187.4	191	5.42	64	90.5	Dome	18.8	Low	75.3
082	Santa_Cruz	Chelonoidis_porteri	Male	124.9	111.4	313.7	677.6	90.8	226.8	4.81	49.6	77.1	Saddleback	20.2	Medium	82.1
083	Isabela	Chelonoidis_microphyes	Male	97.4	117.1	532.7	657.3	0	178.4	3.96	43.7	53.2	Intermediate	25.4	High	84.3
084	Santa_Cruz	Chelonoidis_donfaustoi	Male	109.5	114.9	297.3	496.6	20.6	235.8	4.31	43.9	38.4	Saddleback	24.7	Medium	72.2
085	Isabela	Chelonoidis_vicina	Female	80.6	101.1	422.1	641.1	24.4	160.3	4.56	46.3	56.2	Dome	19.2	Low	71.7
086	Isabela	Chelonoidis_becki	Male	96.3	115.9	537.1	515.1	0	154.7	4.48	58.2	23.3	Saddleback	16.2	Medium	74.4
087	Espanola	Chelonoidis_hoodensis	Female	124.4	99.9	11	529.1	195.8	287.9	4.87	58.7	83.1	Saddleback	22.6	Low	80.8
088	Espanola	Chelonoidis_hoodensis	Female	110.8	96.2	75.3	350.6	80.9	277.3	5.03	52	74.8	Saddleback	33.2	Medium	71.7
089	Espanola	Chelonoidis_hoodensis	Male	109.1	92.7	95.4	439.5	107.9	288.3	4.87	51.7	83.3	Saddleback	36.2	High	66.1
090	Isabela	Chelonoidis_vicina	Male	79.2	107.8	564.2	918.2	64.8	148.4	5.83	46.1	79.5	Intermediate	29.2	High	59.5
091	Isabela	Chelonoidis_becki	Male	87.9	111.7	422.1	748.8	70.3	188.8	4.25	47.7	74.4	Intermediate	16.9	Medium	70.1
092	Santa_Cruz	Chelonoidis_donfaustoi	Male	84.7	108.8	354.1	586.5	54.2	202.9	5.16	46.2	59.8	Saddleback	28.7	High	69.8
093	Isabela	Chelonoidis_microphyes	Female	107.9	101.2	462.2	835	77	172.4	4.79	46	65.5	Intermediate	22.3	Low	70
094	Santa_Cruz	Chelonoidis_donfaustoi	Female	80.2	91.3	235.5	622.6	110.5	209.5	6.26	45.4	91.8	Dome	25.6	Medium	66.1
095	Isabela	Chelonoidis_becki	Male	111.2	112.8	565.7	722.6	0	130.1	3.28	49.5	63.1	Intermediate	28.4	High	64.1
096	Isabela	Chelonoidis_becki	Male	77.7	113.4	557.3	873.1	38.5	180.4	4.85	52.9	66.4	Saddleback	33.3	High	79.3
097	Santa_Cruz	Chelonoidis_donfaustoi	Male	136.6	127.2	287.9	654.6	90	236.3	4.82	54.1	75.4	Saddleback	25.7	High	68.6
098	Isabela	Chelonoidis_becki	Male	109.2	121.5	538	771.2	22.8	132.4	4.64	58.6	50.2	Saddleback	21.5	Medium	85.6
099	Isabela	Chelonoidis_microphyes	Female	86	94.5	457	677.8	28.2	142.5	5.03	37.7	79.2	Intermediate	28.8	Medium	62.2
100	Santa_Cruz	Chelonoidis_porteri	Female	104.8	103.5	292.4	663.3	111.8	197.9	5.46	51.8	56.1	Dome	29.1	Medium	51.6
101	Santa_Cruz	Chelonoidis_porteri	Male	93	113.4	295.3	742.8	126.1	235.2	4.86	48.6	96.8	Saddleback	29.5	High	68.4
102	Isabela	Chelonoidis_microphyes	Female	107.4	107.9	486	938.1	128.1	169.4	5.85	47.4	86.4	Intermediate	30.7	Medium	79.1
103	Isabela	Chelonoidis_microphyes	Male	104.9	113.4	536.7	887.3	59.2	137.4	4.9	42	58.9	Intermediate	26.4	High	68.5
104	Espanola	Chelonoidis_hoodensis	Female	79.7	78.3	126.9	351.7	42.6	251.8	4.22	51	69	Saddleback	20.3	Low	54.2
105	Isabela	Chelonoidis_microphyes	Male	84.2	106.7	477.2	746.9	22	187	4.74	46.5	46.9	Saddleback	25.7	High	64.2
106	Espanola	Chelonoidis_hoodensis	Female	106	95.2	48.4	341.2	104.6	279.8	5.7	50.7	82.8	Saddleback	16.2	Low	69.6
107	Espanola	Chelonoidis_hoodensis	Male	132.8	107.5	131.8	358.8	62	260.5	4.61	45	71.3	Saddleback	30.8	High	83
108	Santa_Cruz	Chelonoidis_porteri	Female	121.7	107.4	283.5	670.9	106.6	225.5	4.61	67.8	72.8	Dome	27.5	Medium	81.2
109	Isabela	Chelonoidis_microphyes	Female	87.5	107.5	369.8	825.6	123.7	195.8	6.23	44.2	69.8	Dome	28.5	Medium	78.1
110	Isabela	Chelonoidis_becki	Male	116.5	122.6	525.7	614.4	0	139.7	3.76	50.5	49.8	Intermediate	25.8	High	74.7
111	Espanola	Chelonoidis_hoodensis	Female	99	96.3	5.7	213.9	76	292.5	5.26	43.5	69.5	Saddleback	13	Low	61.9
112	Isabela	Chelonoidis_becki	Male	106	108.1	450.1	797.7	65.3	150.3	5.29	47.9	61.9	Saddleback	22	Medium	78.1
113	Isabela	Chelonoidis_microphyes	Female	105.2	104.9	571	815	7.9	143.6	4.46	61.5	33.1	Intermediate	29.7	Medium	82.2
114	Espanola	Chelonoidis_hoodensis	Female	151.5	105.6	172.4	169.3	0	271.5	2.94	51.2	36.4	Intermediate	23.6	Low	77.4
115	Santa_Cruz	Chelonoidis_donfaustoi	Female	76.3	95.6	248	518.4	70.2	237.1	5.88	51.7	60.1	Dome	29.2	Medium	81.8
116	Isabela	Chelonoidis_vicina	Male	102	109.5	551.6	802.8	21.5	159.2	5.21	45	69.8	Saddleback	20.3	Medium	73
117	Santa_Cruz	Chelonoidis_porteri	Male	64.4	103.1	295.3	746.2	136.1	211.2	5.9	56.4	93	Saddleback	26.3	High	80.2
118	Espanola	Chelonoidis_hoodensis	Male	111.8	104.9	57.1	198.7	12	284.2	4.09	53.7	52.8	Saddleback	22.3	Medium	84
119	Santa_Cruz	Chelonoidis_porteri	Male	121.9	117.7	361.1	474.5	0	197.5	4.36	47.4	66.8	Intermediate	21.8	Medium	60.3
120	Isabela	Chelonoidis_vicina	Male	128.9	126	510.7	692	7.1	129.5	3.36	53.6	64.8	Saddleback	24.1	Medium	85.2
121	Santa_Cruz	Chelonoidis_porteri	Male	61.5	97.7	257.4	617.5	98.9	235.2	5.19	47.8	88.1	Intermediate	33.6	High	77.6
122	Isabela	Chelonoidis_microphyes	Male	108.3	121.9	476.5	833.1	63.5	180	4.52	53.3	53.9	Saddleback	25.9	High	77.1
123	Isabela	Chelonoidis_microphyes	Female	131.9	117.6	534.3	767.9	31.5	159.9	4.5	46.7	73.8	Dome	26.1	Medium	70.7
124	Isabela	Chelonoidis_becki	Male	91.7	111.6	383.2	638.8	56.8	222.9	4.35	53.3	61.7	Saddleback	33	High	60.4
125	Isabela	Chelonoidis_becki	Female	95.8	108.7	554.8	736.9	0	113.4	4.25	59	41.4	Intermediate	23.6	Low	57.5
126	Espanola	Chelonoidis_hoodensis	Male	99.3	101	0	344	117	317.1	5.96	54.9	83.4	Saddleback	27.6	High	73
127	Isabela	Chelonoidis_microphyes	Female	107.3	110.3	501.1	779.7	49.9	171.8	4.67	52	63	Dome	21.4	Low	68.6
128	Isabela	Chelonoidis_becki	Male	113.3	115.8	490.5	962.3	129.6	158	5.61	50.8	81.9	Saddleback	29.2	High	80.7
129	Isabela	Chelonoidis_microphyes	Female	126.4	120.6	564.7	732.3	0	151.8	4.58	52.8	53.8	Dome	18.3	Low	69.8
130	Santa_Cruz	Chelonoidis_porteri	Female	98.1	99.2	309.4	607.6	60.8	182.9	5.39	53.9	59.8	Intermediate	24.7	Low	66.3
131	Santa_Cruz	Chelonoidis_donfaustoi	Female	103.9	105.2	305.1	529.5	44	218.7	4.95	52	54.9	Intermediate	30.6	Medium	85.1
132	Espanola	Chelonoidis_hoodensis	Female	149.8	104.2	84.9	276	30.1	208.2	3.84	54.8	52.4	Intermediate	31.7	Medium	67.3
133	Santa_Cruz	Chelonoidis_porteri	Male	108.6	111	258.6	663.6	107.9	236.5	4.62	53.8	71.2	Saddleback	24.6	Medium	63.3
134	Santa_Cruz	Chelonoidis_porteri	Male	103.8	114.8	290.2	494.9	41.9	255.7	5.06	51.1	61.9	Saddleback	13.1	Medium	76.7
135	Santa_Cruz	Chelonoidis_porteri	Female	73.2	83.8	358.9	873.5	134.2	224.5	6.44	51.4	86.9	Dome	33.2	Medium	85
136	Santa_Cruz	Chelonoidis_porteri	Male	100.1	112.2	334.2	609.3	45.9	156.7	4.95	50.4	59	Saddleback	21.9	Medium	60.2
137	Espanola	Chelonoidis_hoodensis	Female	95.6	90.4	0	406	141.3	310.9	5.82	53.8	93.5	Saddleback	28.6	Medium	67.3
